,date,product_id,price,client_id
0,2024-10-31,1,9422,10
1,2024-10-12,8,1673,18
2,2023-03-06,3,9432,12
3,2024-05-28,6,1414,10
4,2023-05-30,2,5828,15
5,2024-11-30,9,4166,15
6,2023-11-02,5,8156,14
7,2023-10-15,1,8431,8
8,2024-05-28,5,7369,13
9,2024-03-10,5,3851,13
10,2023-05-12,4,4886,3
11,2023-08-22,8,8272,20
12,2023-08-15,2,6567,17
13,2024-10-12,3,9883,6
14,2023-03-23,1,1073,0
15,2024-02-17,6,2027,5
16,2023-03-08,8,3633,0
17,2023-05-30,3,7924,0
18,2023-09-14,7,5029,4
19,2024-04-03,8,3980,18
20,2023-07-08,4,563,1
21,2023-09-14,5,321,3
22,2023-07-16,9,3760,5
23,2023-12-17,5,3626,18
24,2024-03-14,10,5747,3
25,2023-10-08,1,8894,12
26,2023-09-02,1,2562,17
27,2023-12-15,10,4335,13
28,2024-02-06,1,337,3
29,2023-05-01,10,3177,18
30,2023-01-27,10,3256,9
31,2023-12-02,3,7860,1
32,2023-11-20,2,8278,8
33,2023-07-08,6,747,17
34,2024-02-28,3,6104,7
35,2024-06-01,7,7374,8
36,2024-07-24,9,3993,19
37,2023-02-02,0,9068,12
38,2023-08-17,8,4465,2
39,2024-03-22,4,5367,14
40,2023-06-29,1,8689,2
41,2023-10-13,8,3243,8
42,2023-03-18,9,8398,16
43,2024-04-01,10,9818,8
44,2024-05-17,1,336,14
45,2024-04-04,2,6952,10
46,2023-11-07,0,5769,5
47,2023-03-02,10,7959,14
48,2024-06-20,8,3904,8
49,2024-08-16,8,8198,8
50,2023-03-20,1,2294,14
51,2024-05-11,8,3356,7
52,2023-04-19,7,4426,12
53,2023-10-10,10,2374,8
54,2023-09-23,2,825,11
55,2024-06-14,3,2432,4
56,2023-11-19,6,1048,14
57,2024-09-04,1,8982,10
58,2023-07-29,7,9906,11
59,2023-05-10,1,6774,5
60,2024-05-09,8,4985,8
61,2023-03-09,1,5277,0
62,2024-11-09,9,1073,17
63,2024-08-07,8,6488,8
64,2023-03-01,8,4465,1
65,2023-07-17,1,9814,1
66,2024-11-13,8,2855,7
67,2024-07-09,1,5570,16
68,2024-06-30,3,7254,14
69,2023-10-10,10,6778,3
70,2024-05-28,2,3413,10
71,2023-04-15,0,4443,4
72,2023-07-29,8,568,19
73,2024-05-06,7,7877,9
